"Account History - Account","Account History - ID","Account History - Next","Account History - Operation ID","Account History - Sequence","Additional Data - Fee Data - Amount","Additional Data - Fee Data -Asset","Additional Data - Transfer Data - Amount","Additional Data - Transfer Data - Asset","Block Data - Block Number","Block Data - Block Time","Block Data - Transaction ID","Operation History - Raw Operation","Operation History - Operation in Transaction","Operation History - Operation Result","Operation History - Transaction in Block","Operation Data - Virtual Operation","Operation Type"
1.2.888883,2.9.631637600,2.9.628288020,1.11.613789811,55,,,,,32670829,2018-11-29T13:13:24,a8f4cd79813e38137fcabf41d02762544295012c,,0,"[0,{}]",18,58732,6
1.2.888883,2.9.628288020,2.9.625192476,1.11.610520681,54,,,,,32591721,2018-11-26T15:08:30,9b21b6ac2a3b44f8e13ab9b18fb37e17a373b2a9,,0,"[0,{}]",11,20453,0
1.2.888883,2.9.625192476,2.9.624719049,1.11.607471545,53,,,,,32547339,2018-11-25T02:03:42,de1f0da0d9f53f136643e3563141bcaa6c3f11ce,,0,"[1,""1.8.100364""]",19,51506,3
1.2.888883,2.9.624719049,2.9.623086505,1.11.607003702,52,,,,,32541766,2018-11-24T21:24:15,93d5751ee33be146389de801a7858248c26af7b2,,0,"[0,{}]",66,42413,4
1.2.888883,2.9.623086505,2.9.614245776,1.11.605391831,51,,,,,32520225,2018-11-24T03:24:15,e8e7f93e8feab95c48723f8e0252096ab704a4df,,0,"[1,""1.7.252777596""]",14,3405,1
1.2.888883,2.9.614245776,2.9.614175296,1.11.596666184,50,,,,,32409461,2018-11-20T06:51:03,68e4606a9872738b0a413379254a448d9d44cd59,,0,"[1,""1.8.100364""]",65,59580,3
1.2.888883,2.9.614175296,2.9.611648389,1.11.596596476,49,,,,,32408761,2018-11-20T06:16:03,e7b18b3af22070bc002fc52e47659f399151ba64,,0,"[0,{}]",4,55408,4
1.2.888883,2.9.611648389,2.9.611645641,1.11.594102557,48,,,,,32379701,2018-11-19T05:58:48,53a533c49c74847e8467b73273d662d3e5682d22,,0,"[1,""1.7.247996700""]",42,51854,1
1.2.888883,2.9.611645641,2.9.607089193,1.11.594099825,47,,,,,32379672,2018-11-19T05:57:21,ef8da6af7dcdc233c81153fa64830c11cc501b96,,0,"[1,""1.8.100364""]",45,49122,3
1.2.888883,2.9.607089193,2.9.601418800,1.11.589622729,46,,,,,32320182,2018-11-17T04:14:45,7bb4bb210aa8be4970d6197bd28db2bfbb2f7af8,,0,"[0,{}]",5,28459,4
1.2.888883,2.9.601418800,2.9.585954103,1.11.584045079,45,,,,,32249530,2018-11-14T16:34:51,136d5dfe9d8b0e658452a50aa9e74d2f4bde04e1,,0,"[1,""1.7.243680674""]",26,21362,1
1.2.888883,2.9.585954103,2.9.578035904,1.11.568795500,44,,,,,32037764,2018-11-07T06:46:21,dff07476f69087122127abfd8560c3ad998a4801,,0,"[0,{}]",20,41650,6
1.2.888883,2.9.578035904,2.9.567595684,1.11.560999890,43,,,,,31924577,2018-11-03T08:10:15,4f2e9d68b4e0111300ad7913f454c43d1ea8e849,,0,"[1,""1.8.100364""]",3,44817,3
1.2.888883,2.9.567595684,2.9.558791539,1.11.550726618,42,,,,,31786605,2018-10-29T12:51:39,3bb5e596176327fc3d6afe402ceed0405710f845,,0,"[0,{}]",5,60693,0
1.2.888883,2.9.558791539,2.9.533707564,1.11.542035298,41,,,,,31674916,2018-10-25T15:32:09,dc06a7127675f1c8adfee460691c820fc0988547,,0,"[0,{}]",30,20125,6
1.2.888883,2.9.533707564,2.9.531603957,1.11.517287380,40,,,,,31358332,2018-10-14T14:45:18,ea5d4a8dae42dc7b0ea76b34b37a5536c1c06e03,,0,"[0,{}]",35,44781,0
1.2.888883,2.9.531603957,2.9.527556141,1.11.515215577,39,,,,,31328033,2018-10-13T13:26:27,292251d933fa5e7f6012e65084e0c31eaf2d5aa6,,0,"[0,{}]",39,4591,0
1.2.888883,2.9.527556141,2.9.510789214,1.11.511231013,38,,,,,31270746,2018-10-11T13:34:15,8f57dcd25abf89f436b5f606b33c410a12c95eb5,,0,"[0,{}]",62,17716,0
1.2.888883,2.9.510789214,2.9.489056334,1.11.494752218,37,,,,,30985321,2018-10-01T15:04:00,95109cad9246e006b1b8c48ee9454493fcd14f9c,,0,"[0,{}]",41,53990,6
1.2.888883,2.9.489056334,2.9.484540782,1.11.473417975,36,,,,,30599980,2018-09-18T04:23:18,a8eff593bb7d5282540410f225fbf37977dbffcd,,0,"[0,{}]",23,18909,6
1.2.888883,2.9.484540782,2.9.484540781,1.11.468997613,35,,,,,30521530,2018-09-15T10:49:48,ef86688fcecc1cb021c7967875d6125704521702,,0,"[0,{}]",19,54990,2
1.2.888883,2.9.484540779,2.9.484540778,1.11.468997610,33,,,,,30521530,2018-09-15T10:49:48,ef86688fcecc1cb021c7967875d6125704521702,,0,"[0,{}]",19,54987,4
1.2.888883,2.9.484540778,2.9.484539797,1.11.468997609,32,,,,,30521530,2018-09-15T10:49:48,ef86688fcecc1cb021c7967875d6125704521702,,0,"[1,""1.7.193583922""]",19,54986,1
1.2.888883,2.9.484540781,2.9.484540779,1.11.468997612,34,,,,,30521530,2018-09-15T10:49:48,ef86688fcecc1cb021c7967875d6125704521702,,0,"[0,{}]",19,54989,4
1.2.888883,2.9.484539797,2.9.484539729,1.11.468996630,31,,,,,30521514,2018-09-15T10:49:00,2a9e05b9a083d1956642e37bff6d5130278ff5c0,,0,"[2,{""amount"":1049099272,""asset_id"":""1.3.0""}]",12,54007,2
1.2.888883,2.9.484539729,2.9.484539480,1.11.468996562,30,,,,,30521513,2018-09-15T10:48:57,2e2bfa91166c981c2c785f723286448a9a14357b,,0,"[0,{}]",3,53939,4
1.2.888883,2.9.484539479,2.9.484538378,1.11.468996314,28,,,,,30521509,2018-09-15T10:48:45,667fc4721601938f62b0017af5c7654fc6a34321,,0,"[1,""1.7.193583320""]",7,53691,1
1.2.888883,2.9.484539480,2.9.484539479,1.11.468996315,29,,,,,30521509,2018-09-15T10:48:45,667fc4721601938f62b0017af5c7654fc6a34321,,0,"[0,{}]",7,53692,4
1.2.888883,2.9.484538378,2.9.484538207,1.11.468995217,27,,,,,30521490,2018-09-15T10:47:48,5a091b21c7cff43e4dec971f5c8821a11d2682ec,,0,"[2,{""amount"":129611640,""asset_id"":""1.3.113""}]",21,52594,2
1.2.888883,2.9.484538207,2.9.484537852,1.11.468995046,26,,,,,30521488,2018-09-15T10:47:42,0e0f45655b8962d9ce7b99d84181f2d270c261a3,,0,"[1,""1.7.193582735""]",0,52423,1
1.2.888883,2.9.484537852,2.9.484537792,1.11.468994691,25,,,,,30521482,2018-09-15T10:47:24,9dce7a00e365884156284c5b21dc34ffc12c3cb7,,0,"[2,{""amount"":1531699670,""asset_id"":""1.3.0""}]",40,52068,2
1.2.888883,2.9.484537792,2.9.484537523,1.11.468994631,24,,,,,30521481,2018-09-15T10:47:21,e0d7bf622a5fe81e94c93c684c8cc35804cbabd8,,0,"[0,{}]",70,52008,4
1.2.888883,2.9.484537523,2.9.484537511,1.11.468994363,23,,,,,30521477,2018-09-15T10:47:09,58a078458845c48fa3174aead7e6a45339f72bf9,,0,"[0,{}]",2,51740,4
1.2.888883,2.9.484537511,2.9.484537176,1.11.468994351,22,,,,,30521476,2018-09-15T10:47:06,1ad55484faab141c4e07bf9ff069416efbf39b88,,0,"[0,{}]",52,51728,4
1.2.888883,2.9.484537176,2.9.484537104,1.11.468994020,21,,,,,30521471,2018-09-15T10:46:51,7edcea86d6203dfd12aaad30baaa62f86a74848d,,0,"[0,{}]",42,51397,4
1.2.888883,2.9.484537095,2.9.484537053,1.11.468993941,19,,,,,30521470,2018-09-15T10:46:48,98747f5b2a4e79186a13ad929c41bb9d238cd41a,,0,"[0,{}]",38,51318,4
1.2.888883,2.9.484537104,2.9.484537095,1.11.468993949,20,,,,,30521470,2018-09-15T10:46:48,70d8c91ebeb3c52db1fe629252fc97f3553884d0,,0,"[0,{}]",44,51326,4
1.2.888883,2.9.484537053,2.9.484536965,1.11.468993899,18,,,,,30521470,2018-09-15T10:46:48,3774d1f0ee5eb74e91a1e08c2caa9bd0b85d89d3,,0,"[0,{}]",11,51276,4
1.2.888883,2.9.484536965,2.9.484536701,1.11.468993812,17,,,,,30521468,2018-09-15T10:46:42,4dd6c888288416136cff75d923a42b81c8ac9535,,0,"[1,""1.7.193582172""]",35,51189,1
1.2.888883,2.9.484536701,2.9.484536637,1.11.468993549,16,,,,,30521464,2018-09-15T10:46:30,79f0c18b372d189af5a1804f3f74a3ff7dcc83a0,,0,"[2,{""amount"":1998718340,""asset_id"":""1.3.0""}]",23,50926,2
1.2.888883,2.9.484536637,2.9.484536266,1.11.468993485,15,,,,,30521463,2018-09-15T10:46:27,b7e4dc0d1fce1fb57ca593a6dd480f40a4632889,,0,"[0,{}]",11,50862,4
1.2.888883,2.9.484536266,2.9.484534623,1.11.468993116,14,,,,,30521457,2018-09-15T10:46:09,33e7ee309578799696f31d2dca89b2d44dd33dcb,,0,"[1,""1.7.193581843""]",37,50493,1
1.2.888883,2.9.484534623,2.9.481614527,1.11.468991507,13,,,,,30521437,2018-09-15T10:45:09,51f66aba22b79b175520827d84e4c0911933ead7,,0,"[1,""1.8.100364""]",25,48884,3
1.2.888883,2.9.481614526,2.9.481613843,1.11.466122509,11,,,,,30471308,2018-09-13T16:28:15,738bde13ab335b1660bbe0e36e0ff950b2924760,,0,"[0,{}]",16,63469,4
1.2.888883,2.9.481614527,2.9.481614526,1.11.466122510,12,,,,,30471308,2018-09-13T16:28:15,738bde13ab335b1660bbe0e36e0ff950b2924760,,0,"[0,{}]",16,63470,2
1.2.888883,2.9.481613843,2.9.481613591,1.11.466121834,10,,,,,30471296,2018-09-13T16:27:39,8d593cd4129e436709b37dac915bd7cf63d70b75,,0,"[0,{}]",46,62794,4
1.2.888883,2.9.481613591,2.9.481611038,1.11.466121585,9,,,,,30471293,2018-09-13T16:27:30,0e9ae0762c3e112766173a684a0df072b3e80d3c,,0,"[0,{}]",38,62545,4
1.2.888883,2.9.481611038,2.9.481610557,1.11.466119067,8,,,,,30471256,2018-09-13T16:25:39,d2c204e9616313bbd95c091562a75a0f00cdeb00,,0,"[1,""1.7.192405676""]",0,60027,1
1.2.888883,2.9.481610557,2.9.478590336,1.11.466118591,7,,,,,30471246,2018-09-13T16:25:09,cb9c1649c4dd2b8d2bae7f5dc22907f4ae974406,,0,"[1,""1.8.100364""]",8,59551,3
1.2.888883,2.9.478590336,2.9.478583487,1.11.463159031,6,,,,,30414148,2018-09-11T16:41:27,b5e5af08560e593869038c26d2926462d6fc2eab,,0,"[1,""1.8.100364""]",13,49106,3
1.2.888883,2.9.478583487,2.9.478583056,1.11.463152318,5,,,,,30414015,2018-09-11T16:34:48,d901757cf9a47ffebf6bed955472857e7ae368f7,,0,"[0,{}]",20,42393,8
1.2.888883,2.9.478583056,2.9.478576843,1.11.463151892,4,,,,,30414006,2018-09-11T16:34:21,db71ae10b51c7d9cb45ddb8e6b914796aada8368,,0,"[0,{}]",25,41967,6
1.2.888883,2.9.478576843,2.9.478576729,1.11.463146046,3,,,,,30413890,2018-09-11T16:28:33,9de2b8f74b0e1d129e14a522478dfda40224b919,,0,"[0,{}]",5,36121,0
1.2.888883,2.9.478576729,2.9.186687350,1.11.463145934,2,,,,,30413888,2018-09-11T16:28:27,414906ccf34b566d51858a5d9f4377a2bed23cda,,0,"[0,{}]",1,36009,0
1.2.888883,2.9.186687350,2.9.0,1.11.177829040,1,,,,,26457233,2018-04-26T15:05:33,9ff738b1e4256299ac6dfb91f46dc9bc98910ee4,,0,"[1,""1.2.888883""]",10,62497,5
